FAO_name,exclude,exclude_no_seaweed,exclude_no_nei,alias,notes,notes_2,Taxon_code,family
[Boleophthalmus pectinirostris],1,1,1,NA,,Chinese medicine,F,Gobiidae
[Capsosiphon fulvescens],1,1,1,NA,algae used as traditional medicine. ,https://www.hindawi.com/journals/bmri/2016/1462916/,AL,Algae
[Chondracanthus chamissoi],0,1,1,NA,seaweed: food/carageenan,non-food use determined using Vasquez and Vega (some for food and carageenan): https://www.researchgate.net/publication/226813687_Chondracanthus_chamissoi_Rhodophyta_Gigartinales_in_northern_Chile_Ecological_aspects_for_management_of_wild_populations; Wiki (Highly consumed in Peru): https://es.wikipedia.org/wiki/Chondracanthus_chamissoi,AL,Algae
[Dunaliella salina],1,1,1,NA,seaweed,"used in B-carotene, lutein, fatty acids, etc https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/dunaliella",AL,Algae
[Meristotheca senegalense],0,1,0,NA,seaweed,Type of red macroalgae with nutritional value for humans: https://academicjournals.org/journal/AJFS/article-full-text/376F45B62073,AL,Algae
[Mugil spp],0,0,0,NA,,,F,Mugilidae
[Oplegnathus fasciatus],0,0,0,NA,also known as barred knifejaw,https://www.fishbase.in/summary/Oplegnathus-fasciatus.html,F,Oplegnathidae
[Porphyra columbina],0,1,0,NA,seaweed: food,food use determined using New Zealand Gov (Porphyra columbina is also known as karengo indicated as a high value food algae): https://teara.govt.nz/en/seaweed/page-4; Seaweed and Man: https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22; known in Chile as luche https://en.wikipedia.org/wiki/Pyropia_columbina,AL,Algae
[Sargassum spp],1,1,1,NA,seaweed,non-food use determined using FAO (most brown kelps used for alginate due to high concentration in tissues): http://www.fao.org/3/a-y4765e.pdf; Sargassum in Mexico specifically: https://www.e-algae.org/journal/view.php?number=2819,AL,Algae
[Solea spp],0,0,0,NA,,,F,Soleidae
[Spirulina maxima],1,1,1,NA,seaweed,non-food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL,Algae
[Trochita spp],1,1,1,NA,,"Not a lot of information, mostly ecological studies, many southern Chileans just eat anything, might be super artisanal (pers comm. Camila Vargas)",MOLL,Calyptraeidae
Abalones nei,0,0,0,NA,,,BI,Haliotidae
Akiami paste shrimp,0,0,0,NA,,,SH,Sergestidae
Amberjacks nei,0,0,0,NA,,,F,Carangidae
American bull frog,0,0,0,NA,,,OTHER,Ranidae
American cupped oyster,0,0,0,Cupped oysters nei,,,BI,Ostreidae
Anadara clams nei,0,0,0,"Clams, etc. nei",,,BI,Arcidae
Aquatic invertebrates nei,0,0,0,NA,,,INV,Invertabrates
Aquatic plants nei,1,1,1,NA,seaweed,non-food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL,Algae
Arctic char,0,0,0,NA,,,F,Salmonidae
Areolate grouper,0,0,0,Groupers nei,,,F,Serranidae
Atipa,1,1,1,NA,freshwater,,F,Eusiridae
Atlantic bluefin tuna,0,0,0,NA,,,F,Scombridae
Atlantic cod,0,0,0,NA,,,F,Gadidae
Atlantic ditch shrimp,0,0,0,NA,,,SH,Palaemonidae
