"FAO_name","include","include_no_food","include_all_seaweed","include_all_nei","alias","notes","notes_2","Taxon_code"
"[Chondracanthus chamissoi]",0,0,1,1,NA,"seaweed: food/carageenan","non-food use determined using Vasquez and Vega (some for food and carageenan): https://www.researchgate.net/publication/226813687_Chondracanthus_chamissoi_Rhodophyta_Gigartinales_in_northern_Chile_Ecological_aspects_for_management_of_wild_populations; Wiki (Highly consumed in Peru): https://es.wikipedia.org/wiki/Chondracanthus_chamissoi","AL"
"[Porphyra columbina]",0,0,1,0,NA,"seaweed: food","food use determined using New Zealand Gov (Porphyra columbina is also known as karengo indicated as a high value food algae): https://teara.govt.nz/en/seaweed/page-4; Seaweed and Man: https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22; known in Chile as luche https://en.wikipedia.org/wiki/Pyropia_columbina","AL"
"[Spirulina maxima]",1,1,1,1,NA,"seaweed","non-food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm","AL"
"Aquatic plants nei",1,1,1,1,NA,"seaweed","non-food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm","AL"
"Babberlocks",0,0,1,0,NA,"seaweed","food use determined using FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm; also called Alaria esculenta: https://en.wikipedia.org/wiki/Alaria_esculenta","AL"
"Bright green nori",0,0,1,0,NA,"seaweed mixed: animal feed/fertilizer/food","food use determined using Seaweed and Man (Green nori indicated as an important algae for food): https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22","AL"
"Dark green nori",0,0,1,0,NA,"seaweed mixed: animal feed/fertilizer/food","food use determined using Seaweed and Man (Green nori indicated as an important algae for food): https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22","AL"
"Sea lettuces nei",0,0,1,0,NA,"seaweed","https://caseagrant.ucsd.edu/seafood-profiles/sea-lettuce-0","AL"
"Brown seaweeds",0,0,1,1,NA,"seaweed","food use determined using FAO: http://www.fao.org/3/a-y4765e.pdf","AL"
"Caulerpa seaweeds",0,0,1,0,NA,"seaweed","food use determined using FAO manual: http://www.fao.org/docrep/field/003/ac417e/AC417E00.htm","AL"
"[Meristotheca senegalense]",0,0,1,0,NA,"seaweed","Type of red macroalgae with nutritional value for humans: https://academicjournals.org/journal/AJFS/article-full-text/376F45B62073","AL"
"Dulse",0,0,1,0,NA,"seaweed: food","food use determined using source:https://www.sciencedirect.com/science/article/pii/B9780124186972000131 and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm","AL"
"Elkhorn sea moss",1,1,1,1,NA,"seaweed: mixed use/carageenan","non-food use, primary carageenan use determined using Buschmann et al (also Kappaphycus alvarezii): https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175","AL"
"Eucheuma seaweeds nei",1,1,1,1,NA,"seaweed: mixed use, carageenan","non-food use, primary carageenan use determined using Buschmann et al: https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175; Seaweed and Man: https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22; Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm","AL"
"Fragile codium",1,1,1,1,NA,"seaweed: mixed use","non-food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm","AL"
"Fusiform sargassum",0,0,1,0,NA,"seaweed: mixed use","food use determined by Bushmann et al (fusiform sargassum also Hijiki or Sargassum fusiforme): https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175; alternative names: http://www.uniprot.org/taxonomy/590727","AL"
"Gelidium seaweeds",1,1,1,1,NA,"seaweed: agar","non-food use determined by FAO (most of agar comes from Gracilaria or Gelidium, but the Gelidium FAO data is from Korea where it is also consumed as food): http://www.fao.org/3/a-y4765e.pdf; Frangoudes 2016 (Edible seaweed in Korea): https://www.sciencedirect.com/science/article/pii/B9780128027721000026","AL"
"Giant kelp",1,1,1,1,NA,"seaweed, alginate","non-food use determined by FAO (giant kelp produced in Chile are mostly bought by processors that turn it into alginate): http://www.fao.org/3/a-y4765e.pdf","AL"
"Gracilaria seaweeds",1,1,1,1,NA,"seaweed mixed: agar/food","non-food use, primary agar use determined using Buschmann et al: https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175; Seaweed and Man: https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22; Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm","AL"
"Green laver",0,0,1,1,NA,"seaweed; food","food use determined using Seaweed and Man (green laver is same as green nori but different country names): https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22; Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm","AL"
"Harpoon seaweeds",1,1,1,1,NA,"seaweed: cosmetic/antiparasitic/agar","non-food use deteremined by Netalgae.eu (75% of seaweed produced in France is processed): http://www.netalgae.eu/uploadedfiles/11-09-12_poster_wp1_en.pdf; harpoon seaweed's scientific name is Asparagopsis armata, which is likely used in cosmetics: https://link.springer.com/content/pdf/10.1007%2Fs10811-005-2799-5.pdf and https://www.roscara.com/wild-irish-seaweed-asparagopsis-armata/","AL"
"Japanese isinglass",1,1,1,1,NA,"seaweed: agar/food","non-food use determined by Whittaker 1910 (japanese isinglass is a type of Gelidium seaweed): https://ajph.aphapublications.org/doi/pdf/10.2105/AJPH.1.9.632; FAO (most of agar comes from Gracilaria or Gelidium, but the Gelidium FAO data is from Korea where it is also consumed as food): http://www.fao.org/3/a-y4765e.pdf; Frangoudes 2016 (Edible seaweed in Korea): https://www.sciencedirect.com/science/article/pii/B9780128027721000026","AL"
"Japanese kelp",0,0,1,0,NA,"seaweed:","food use determined using Buschmann et al: https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175; Seaweed and Man ( also likely Saccharina japonica or kombu): https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22; food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm","AL"
"Kelp nei",1,1,1,1,NA,"seaweed: mixed use","not in FAO mariculture data 5/4/18","AL"
"Laver (Nori)",0,0,1,0,NA,"seaweed","food use determined using Seaweed and Man (Porphyra or nori indicated as a high value food algae): https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22","AL"
"Mozuku",0,0,1,0,NA,"seaweed","food use determined by Tongafish.gov (most of Tonga production of mozuku is shipped to Japanese market where it is used for the food market, some amounts are shipped elsewhere for use in homeopathic purposes, but unsure how much): http://www.tongafish.gov.to/images/documents/Management%20Plans/Approved%20Seaweed%20Management%20Plan%202012-2013.pdf","AL"
"Nori nei",0,0,1,1,NA,"seaweed","food use determined using Seaweed and Man (Porphyra or nori indicated as a high value food algae): https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22","AL"
"Red seaweeds",1,1,1,1,NA,"seaweed","non-food use determined using FAO (red algae in Indonesia and Portugal mostly agar-containing seaweeds): http://www.fao.org/3/a-y4765e.pdf","AL"
"Sea belt",1,1,1,1,NA,"seaweed","non-food use determined using SINTEF Fisheries and Aquaculture Norway (sea belt is also Saccharina latissima or sugar kelp, mostly used for processed agar in Norway, food market growing but seems to be small): https://www.innovasjonnorge.no/contentassets/95273c625e1c4b4caf8b4d0a36020dc0/2014-sintef---seaweed-in-the-bioeconomy.pdf; not mentioned as a main use in Forbord et al 2012: https://link.springer.com/article/10.1007/s10811-011-9784-y","AL"
"Seaweeds nei",0,0,1,1,NA,"seaweed","food use determined using production value range and variety of countries - since most seaweeds are used for human consumption, include ","AL"
"Spiny eucheuma",1,1,1,1,NA,"seaweed:carrageenan","non-food use, primary carageenan use determined using Buschmann et al: https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175; Seaweed and Man: https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22; Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm","AL"
"Tangle",1,1,1,1,NA,"industrial uses","non-food use determined by Irishseaweeds (tangle is Laminaria digitata): http://www.irishseaweeds.com/kelp-laminaria-digitata/; biotech use: http://www.bim.ie/our-work/projects/developing,irish,seaweed,farming,for,high,value,products/","AL"
"Wakame",0,0,1,0,NA,"seaweed: food","food use determined using Buschmann et al (wakame is undaria): https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175; Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm","AL"
"Wakame nei",0,0,1,1,NA,"seaweed: food","food use determined using Buschmann et al (wakame is undaria): https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175; Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm","AL"
"Warty gracilaria",1,1,1,1,NA,"seaweed","non-food use determined by FAO: http://www.fao.org/fishery/culturedspecies/Gracilaria_spp/en","AL"
"Giant kelps nei",1,1,1,1,NA,"seaweed","non-food use determined by FAO (giant kelp produced in Chile are mostly bought by processors that turn it into alginate): http://www.fao.org/3/a-y4765e.pdf","AL"
"Green seaweeds",1,1,1,1,NA,"seaweed","non-food use determined using Soares et al 2017 (sounds like using seaweed as food still underutilized or growing in Portugal): http://iopscience.iop.org/article/10.1088/1757-899X/231/1/012126/pdf","AL"
"Coarse seagrape",0,0,1,1,NA,"seaweed","food use determined using the Ministry of Marine Resources Government of the Cook Islands (seagrape is a Caulerpa): https://spccfpstore1.blob.core.windows.net/digitallibrary-docs/files/88/8824bd3fd3cd8612e947eb8257e50c95.pdf?sv=2015-12-11&sr=b&sig=DrP8Q7fZlTwWVDh43O6kLr3KhZGuViZKLeHWCGMydCw%3D&se=2018-10-30T20%3A45%3A25Z&sp=r&rscc=public%2C%20max-age%3D864000%2C%20max-stale%3D86400&rsct=application%2Fpdf&rscd=inline%3B%20filename%3D%22Anon_00_CookIslands_BasicInfo.pdf%22; FAO manual: http://www.fao.org/docrep/field/003/ac417e/AC417E00.htm","AL"
"[Sargassum spp]",1,1,1,1,NA,"seaweed","non-food use determined using FAO (most brown kelps used for alginate due to high concentration in tissues): http://www.fao.org/3/a-y4765e.pdf; Sargassum in Mexico specifically: https://www.e-algae.org/journal/view.php?number=2819","AL"
"Spirulina nei",1,1,1,1,NA,"seaweed","non-food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm","AL"
"[Dunaliella salina]",1,1,1,1,NA,"seaweed","used in B-carotene, lutein, fatty acids, etc https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/dunaliella","AL"
"[Capsosiphon fulvescens]",1,1,1,1,NA,"algae used as traditional medicine. ","https://www.hindawi.com/journals/bmri/2016/1462916/","AL"
"Slender wart weed",1,1,1,1,"NA ","seaweed ","Not much information at all on this. ","AL"
